Western Date,Tibetan Month,Tibetan Day,Elements,Symbols,Events & Special Observances
Feb 18,1,1,Water²,Dron,Fire-Horse Tibetan New Year
Feb 19,1,2,Earth-Wind,Tsong,
Feb 20,1,3,Earth-Fire,"Bhu, Hand",
Feb 21,1,4,Earth-Water,Dron,
Feb 22,1,5,Fire-Water -> Fire-Wind,Nyen,
Feb 23,1,6,Water-Wind -> Fire-Water,Shid,
Feb 24,1,8,Fire²,"Khar, Hand",
Feb 25,1,9,Fire-Water -> Earth-Water,Chi,
Feb 26,1,10,Earth-Wind -> Wind²,Shid,
Feb 27,1,11,Earth-Water,Dron,
Feb 28,1,12,Earth-Wind,Tsong,
Mar 1,1,13,Fire²,"Bhu, Yen Kong",
Mar 2,1,14,Water²,Khar,
Mar 3,1,15,Fire²,Nyen,"Full Moon, Sojong, Cho-trul Due-chen"
Mar 4,1,16,Fire-Water,Shid,
Mar 5,1,17,Wind²,Mhag,
Mar 6,1,18,Earth-Wind,Dhur,
Mar 7,1,19,Earth-Wind,Chi,
Mar 8,1,20,Fire-Wind,Shid,
Mar 9,1,21,Water-Wind -> Fire-Water,"Dron, Hand",Black-Day
Mar 10,1,22,Fire² -> Earth-Fire,Tsong,Tibetan Uprising Day
Mar 11,1,23,Earth-Water,Bhu,
Mar 12,1,24,Earth-Wind,Dron,
Mar 13,1,25,Earth-Water,Nyen,Naga-Day
Mar 14,1,26,Earth-Water,Shid,
Mar 15,1,27,Fire-Water,Mhag,
Mar 16,1,28,Earth-Water,Dhur,
Mar 17,1,29,Fire-Water,Chi,Sojong
Mar 18,1,30,Earth-Water,"Shid, Hand","New Moon, Bad-Day"
Mar 19,2,1,Fire-Wind,Dron,
Mar 20,2,2,Earth-Water,Tsong,
Mar 21,2,3,Earth-Water,Bhu,Vernal Equinox
Mar 22,2,4,Fire-Wind,"Dron, Hand",
Mar 23,2,5,Fire-Water,Nyen,
Mar 24,2,6,Fire²,Shid,
Mar 25,2,7,Earth-Water,Mhag,
Mar 26,2,8,Wind² -> Water-Wind,"Khar, Hand","Naga-Day, Black-Day"
Mar 27,2,9,Earth-Water -> Earth-Wind,Chi,
Mar 28,2,10,Earth-Wind -> Earth-Fire,Shid,
Mar 29,2,11,Fire² -> Fire-Water,"Dron, Yen Kong",
Mar 30,2,13,Water² -> Fire-Water,Bhu,
Mar 31,2,14,Fire²,Khar,
Apr 1,2,15,Fire-Water -> Water-Wind,"Nyen, Hand","Full Moon, Naga-Day, Sojong, Bad-Day"
Apr 2,2,16,Wind²,Shid,
Apr 3,2,17,Earth-Wind,Mhag,
Apr 4,2,17,Earth-Wind,Mhag,
Apr 5,2,18,Fire-Wind -> Fire²,Dhur,
Apr 6,2,19,Fire-Water,Chi,
Apr 7,2,20,Earth-Fire,Shid,
Apr 8,2,21,Earth-Water,Dron,
Apr 9,2,22,Water-Wind,Tsong,
Apr 10,2,23,Earth-Water,Bhu,
Apr 11,2,24,Earth²,Dron,
Apr 12,2,25,Earth-Fire,Nyen,
Apr 13,2,26,Earth-Water -> Water²,Shid,
Apr 14,2,27,Fire-Water -> Earth-Fire,Mhag,
Apr 21,3,4,Earth-Fire,Dron,
Apr 22,3,6,Water-Wind,Shid,
Apr 23,3,7,Water-Wind,Mhag,
Apr 24,3,8,Earth-Wind,Dhur,
Apr 25,3,9,Earth-Fire,"Chi, Yen Kong",
Apr 26,3,10,Fire-Water,Shid,
Apr 27,3,11,Fire-Water,"Dron, Hand",
Apr 28,3,12,Fire²,"Khar, Hand",Bad-Day
Apr 29,3,13,Water-Wind,Bhu,
Apr 30,3,14,Wind²,Khar,
May 1,3,15,Earth-Wind,Nyen,"Full Moon, Sojong"
May 2,3,16,Earth-Wind,Shid,Black-Day
May 3,3,17,Fire²,Mhag,
May 4,3,18,Earth-Water,Dhur,
May 5,3,19,Earth-Fire,Chi,Fire-Heart pulse predominates for 72 days
May 6,3,20,Earth-Water -> Water²,Shid,Naga-Day
May 7,3,21,Water-Wind,Dron,
May 8,3,22,Earth-Water -> Earth²,Tsong,Naga-Day
May 9,3,22,Earth²,Tsong,
May 10,3,23,Earth-Fire -> Fire-Water,Bhu,
May 11,3,24,Water² -> Earth-Water,Dron,
May 12,3,25,Earth-Fire,Nyen,
May 13,3,26,Fire-Water,Shid,
May 14,3,27,Water-Wind,Mhag,
May 15,3,28,Earth-Water -> Earth-Wind,Dhur,Sojong
May 16,3,30,Earth-Wind -> Earth-Fire,Shid,New Moon
May 17,4,1,Fire²,Dron,
May 18,4,2,Fire-Water -> Earth-Water,Tsong,
May 19,4,3,Earth-Fire -> Fire-Wind,Bhu,
May 20,4,4,Water-Wind -> Water²,Dron,
May 21,4,5,Wind²,Nyen,Naga-Day
May 22,4,6,Earth-Fire,"Shid, Hand",
May 23,4,7,Earth-Water,"Mhag, Yen Kong",
May 24,4,8,Fire²,Dhur,
May 25,4,9,Fire-Water,Chi,
May 26,4,10,Fire-Wind,Shid,
May 27,4,11,Water-Wind,Dron,
May 28,4,12,Wind²,Tsong,
May 29,4,13,Earth-Wind,Bhu,
May 30,4,14,Earth-Wind -> Earth-Fire,Dron,Sojong
May 31,4,15,Fire² -> Earth-Fire,Nyen,"Full Moon, Buddha Shakyamuni's Birth, Enlightenment and Parinirvana"
Jun 1,4,16,Earth-Water,Shid,
Jun 2,4,17,Earth-Fire -> Fire-Water,Mhag,
Jun 3,4,18,Water²,Dhur,
Jun 4,4,19,Water-Wind,Chi,
Jun 5,4,20,Earth²,Shid,Naga-Day
Jun 6,4,21,Earth²,Dron,
Jun 7,4,22,Fire-Water,"Tsong, Hand",
Jun 8,4,23,Earth-Water,Bhu,
Jun 9,4,24,Fire²,"Dron, Hand",Black-Day
Jun 10,4,25,Water² -> Water-Wind,Nyen,"Naga-Day, Bad-Day"
Jun 11,4,26,Water-Wind,Shid,
Jun 12,4,27,Earth-Wind -> Fire-Wind,Mhag,
Jun 13,4,28,Earth-Fire,Dhur,
Jun 14,4,29,Fire²,Chi,Sojong
Jun 15,4,30,Earth-Water,Shid,New Moon
Jun 16,5,1,Fire-Wind -> Fire-Water,Dron,
Jun 17,5,3,Water² -> Water-Wind,Bhu,
Jun 18,5,4,Wind² -> Fire-Wind,Khar,
Jun 19,5,5,Earth-Fire -> Earth-Water,"Nyen, Yen Kong",
Jun 20,5,6,Earth-Water -> Earth-Fire,Shid,
Jun 21,5,7,Fire²,"Mhag, Hand",Summer Solstice
Jun 22,5,8,Fire-Water -> Water-Wind,Dhur,Bad-Day
Jun 23,5,9,Fire-Wind,Chi,"Naga-Day, Black-Day"
Jun 24,5,10,Water-Wind,Shid,
Jun 25,5,11,Wind²,Dron,
Jun 26,5,12,Earth-Wind -> Earth-Fire,Tsong,
Jun 27,5,13,Earth-Fire,Bhu,
Jun 28,5,14,Earth-Fire,Dron,
Jun 29,5,15,Earth-Water,Nyen,"Full Moon, Sojong, Universal Prayer Day"
Jun 30,5,16,Fire-Water,Shid,
Jul 1,5,17,Water²,Mhag,
Jul 2,5,17,Earth-Wind,Mhag,
Jul 3,5,18,Earth²,Khar,
Jul 4,5,19,Earth² -> Earth-Water,"Chi, Hand",Naga-Day
Jul 5,5,20,Fire-Water -> Earth-Fire,Shid,
Jul 6,5,21,Earth-Water -> Fire-Water,Dron,Birthday of His Holiness The 14th Dalai Lama
Jul 7,5,22,Fire² -> Fire-Water,Tsong,
Jul 8,5,23,Water²,Bhu,
Jul 9,5,24,Water-Wind -> Wind²,Dron,
Jul 10,5,26,Earth-Fire,Shid,
Jul 11,5,27,Earth-Fire,Mhag,
Jul 12,5,28,Earth-Fire,Dhur,
Jul 13,5,29,Water-Wind -> Fire-Water,Chi,Sojong
Jul 14,5,30,Fire-Water,Shid,New Moon
Jul 15,6,1,Water-Wind,Dron,Black-Month
Jul 16,6,2,Fire-Wind,"Chi, Yen Kong",
Jul 17,6,3,Earth-Water,Bhu,
Jul 18,6,4,Earth-Fire,Dron,Buddha Shakyamuni's 1st Teaching Day
Jul 19,6,5,Fire²,Nyen,
Jul 20,6,6,Water-Wind,Shid,Earth-Spleen pulse predominates for 18 days
Jul 21,6,7,Fire-Wind,Mhag,Black-Month
Jul 22,6,8,Water-Wind,Dhur,
Jul 23,6,9,Wind²,Chi,
Jul 24,6,10,Earth-Fire,Shid,Black-Month
Jul 25,6,11,Earth²,Dron,
Jul 26,6,12,Earth-Fire,Tsong,
Jul 27,6,13,Earth-Water -> Water²,Bhu,Black-Month
Jul 28,6,14,Fire-Water,Dron,Sojong
Jul 29,6,15,Water² -> Earth-Water,Nyen,"Full Moon, Naga-Day"
Jul 30,6,16,Earth-Wind,Shid,"Black-Month, Bad-Day"
Jul 31,6,17,Earth² -> Earth-Water,Mhag,
Aug 1,6,18,Earth-Wind,Dhur,Black-Day
Aug 2,6,19,Earth-Fire -> Fire²,Chi,Black-Month
Aug 3,6,20,Fire-Water,Shid,
Aug 4,6,21,Fire-Water,Dron,
Aug 5,6,22,Water² -> Water-Wind,Tsong,
Aug 6,6,23,Wind² -> Fire-Wind,Bhu,
Aug 7,6,24,Earth-Fire,Dron,Metal-Lungs pulse predominates for 72 days
Aug 8,6,25,Earth-Fire -> Earth²,Nyen,Black-Month
Aug 9,6,26,Earth-Fire -> Fire-Wind,Shid,
Aug 10,6,27,Water-Wind -> Water²,Mhag,
Aug 11,6,29,Fire-Wind -> Water²,Chi,"Black-Month, Sojong"
Aug 12,6,30,Fire-Water,Shid,New Moon
Aug 13,7,1,Water-Wind,"Dron, Yen Kong",Naga-Day
Aug 14,7,2,Earth-Fire,Tsong,
Aug 15,7,3,Earth-Fire,Bhu,Independence Day of India
Aug 16,7,4,Fire-Wind,Khar,
Aug 17,7,5,Water-Wind,Nyen,
Aug 18,7,6,Fire-Wind,Shid,
Aug 19,7,7,Water-Wind,Mhag,
Aug 20,7,8,Wind² -> Fire-Wind,Dhur,
Aug 21,7,9,Earth-Fire -> Earth²,Chi,
Aug 22,7,10,Earth²,Shid,
Aug 23,7,11,Earth-Fire -> Fire-Water,Dron,Naga-Day
Aug 24,7,12,Water²,Tsong,
Aug 25,7,13,Fire-Water,Bhu,
Aug 26,7,14,Earth-Water,Khar,Sojong
Aug 27,7,14,Earth-Wind,Khar,
Aug 28,7,15,Earth-Water,Nyen,Full Moon
Aug 29,7,16,Earth²,Shid,
Aug 30,7,17,Fire²,Mhag,
Aug 31,7,18,Water²,Dhur,
Sep 1,7,19,Fire-Water,Chi,
Sep 2,7,21,Water-Wind,Dron,Democracy Day of Tibet
Sep 3,7,22,Fire-Wind,Tsong,Naga-Day
Sep 4,7,23,Earth-Fire,Bhu,
Sep 5,7,24,Earth²,Dron,
Sep 6,7,25,Fire-Wind -> Fire-Water,Nyen,
Sep 7,7,26,Water² -> Water-Wind,Shid,
Sep 8,7,27,Fire-Wind -> Fire²,Mhag,Black-Day
Sep 9,7,28,Fire-Water -> Water²,Dhur,
Sep 10,7,29,Water-Wind -> Fire-Wind,"Chi, Yen Kong",Sojong
Sep 11,7,30,Earth-Fire,Shid,"New Moon, Bad-Day"
Sep 12,8,1,Earth-Fire -> Earth-Wind,Dron,
Sep 13,8,2,Fire-Wind,Tsong,
Sep 14,8,3,Water-Wind,Bhu,
Sep 15,8,4,Fire-Wind,Dron,
Sep 16,8,5,Water-Wind -> Fire-Water,Nyen,
Sep 17,8,6,Fire-Wind -> Earth-Wind,Shid,
Sep 18,8,7,Earth²,Mhag,
Sep 19,8,8,Earth²,Dhur,Naga-Day
Sep 20,8,9,Fire-Water,Chi,Bad-Day
Sep 21,8,10,Water²,Shid,Black-Day
Sep 22,8,11,Earth-Fire,Dron,
Sep 23,8,12,Earth-Water,Tsong,
Sep 24,8,13,Earth-Wind -> Fire-Water,Bhu,Autumnal Equinox
Sep 25,8,14,Earth-Water -> Fire-Water,Khar,Sojong
Sep 26,8,15,Earth² -> Earth-Fire,Nyen,Full Moon
Sep 27,8,16,Fire² -> Fire-Water,Shid,
Sep 28,8,17,Water²,Mhag,
Sep 29,8,18,Fire-Water -> Fire-Wind,Dhur,Naga-Day
Sep 30,8,19,Water-Wind -> Fire-Water,Chi,
Oct 1,8,20,Fire-Wind,Shid,
Oct 2,8,21,Earth²,Dron,Gandhi Jayanti
Oct 3,8,22,Earth-Wind,Tsong,
Oct 4,8,23,Fire-Water,Bhu,
Oct 5,8,25,Water-Wind,Nyen,
Oct 6,8,26,Fire²,Shid,
Oct 7,8,27,Water²,"Mhag, Yen Kong",
Oct 8,8,28,Fire-Wind,Dhur,
Oct 9,8,29,Earth-Fire -> Earth-Wind,Chi,Sojong
Oct 10,8,30,Earth-Wind,Shid,New Moon
Oct 11,9,1,Fire-Wind,Dron,
Oct 12,9,2,Water-Wind,Tsong,
Oct 13,9,3,Fire-Wind,Bhu,
Oct 14,9,4,Fire-Water,Khar,
Oct 15,9,5,Earth-Wind,Nyen,
Oct 16,9,6,Earth²,Shid,
Oct 17,9,7,Earth-Water -> Earth-Fire,Mhag,Naga-Day
Oct 18,9,8,Fire-Water,Dhur,
Oct 19,9,9,Water² -> Earth-Water,Chi,
Oct 20,9,9,Earth-Fire,Chi,
Oct 21,9,10,Earth-Water -> Water²,Shid,Earth-Spleen pulse predominates for 18 days
Oct 22,9,11,Water-Wind -> Earth-Wind,Dron,
Oct 23,9,12,Earth² -> Earth-Fire,Tsong,
Oct 24,9,13,Earth-Fire -> Earth-Water,Bhu,
Oct 25,9,14,Fire-Water,Shid,Sojong
Oct 26,9,15,Water² -> Water-Wind,Nyen,"Full Moon, Bad-Day"
Oct 27,9,16,Fire-Wind -> Fire²,Shid,
Oct 28,9,18,Fire-Water,Dhur,
Oct 29,9,19,Fire-Wind -> Earth-Wind,Chi,
Oct 30,9,20,Earth² -> Earth-Wind,Shid,Black-Day
Oct 31,9,21,Earth-Wind -> Earth-Water,Dron,
Nov 1,9,22,Fire-Wind,Tsong,Lha-bab Due-chen
Nov 2,9,23,Fire-Water,Bhu,
Nov 3,9,24,Fire-Water,"Mhag, Yen Kong",
Nov 4,9,25,Fire-Water,Nyen,
Nov 5,9,26,Fire-Wind -> Earth-Water,Shid,
Nov 6,9,27,Earth-Wind,Mhag,
Nov 7,9,28,Earth-Wind,Dhur,
Nov 8,9,29,Fire-Wind,Chi,"Sojong, Water-Kidney pulse predominates for 72 days"
Nov 9,9,30,Water-Wind,Shid,New Moon
Nov 10,10,1,Fire²,Dron,
Nov 11,10,2,Fire-Water -> Earth-Water,Tsong,
Nov 12,10,3,Earth-Wind,Bhu,
Nov 13,10,4,Earth² -> Earth-Water,Mhag,
Nov 14,10,5,Earth-Water,Shid,
Nov 15,10,6,Fire-Water -> Earth-Fire,Mhag,
Nov 16,10,7,Water²,Dhur,
Nov 17,10,8,Earth-Fire,Dron,
Nov 18,10,9,Water² -> Earth-Water,Chi,
Nov 19,10,10,Earth-Wind -> Water²,Shid,
Nov 20,10,11,Earth-Fire,Tsong,
Nov 21,10,12,Earth-Water -> Earth-Fire,Bhu,
Nov 22,10,13,Fire-Water -> Earth-Wind,Dron,
Nov 23,10,14,Water-Wind -> Fire²,Khar,Sojong
Nov 24,10,15,Fire² -> Earth-Wind,Nyen,Full Moon
Nov 25,10,16,Fire-Water,Shid,
Nov 26,10,17,Earth-Wind,Mhag,
Nov 27,10,18,Earth-Wind -> Earth-Water,Dhur,
Nov 28,10,19,Earth-Water -> Earth-Wind,Chi,
Nov 29,10,20,Fire-Wind -> Fire²,Shid,
Nov 30,10,22,Fire-Water -> Water²,Dron,
Dec 1,10,23,Fire-Water -> Fire²,"Tsong, Yen Kong",
Dec 2,10,24,Fire-Water,Bhu,
Dec 3,10,25,Fire-Wind -> Wind²,Nyen,Bad-Day
Dec 4,10,26,Earth-Wind,Shid,
Dec 5,10,27,Earth-Wind,Mhag,
Dec 6,10,28,Fire-Wind,Dhur,
Dec 7,10,29,Water-Wind -> Fire-Water,Chi,
Dec 8,10,30,Fire² -> Earth-Fire,Shid,"New Moon, Sojong, Black-Day"
Dec 9,11,1,Earth-Water,Dron,
Dec 10,11,2,Earth-Wind,Tsong,Commemoration of the Noble Peace Prize to His Holiness The XIV Dalai Lama
Dec 11,11,3,Earth-Water,Bhu,
Dec 12,11,3,Earth-Water -> Fire-Water,Bhu,
Dec 13,11,4,Earth-Fire,Khar,
Dec 14,11,5,Earth-Water,Nyen,
Dec 15,11,6,Fire-Water,Shid,Nine Bad Omens Day
Dec 16,11,7,Earth-Water,Mhag,
Dec 17,11,8,Earth-Wind -> Fire-Wind,Dhur,Black-Day
Dec 18,11,9,Earth-Fire -> Earth-Water,Chi,
Dec 19,11,10,Earth-Water,Shid,Bad-Day
Dec 20,11,11,Fire-Water -> Fire-Wind,Dron,
Dec 21,11,12,Water-Wind -> Fire-Water,Tsong,
Dec 22,11,13,Fire²,Bhu,Winter Solstice
Dec 23,11,14,Earth-Water,Khar,"Naga-Day, Sojong"
Dec 24,11,16,Wind²,Shid,
Dec 25,11,17,Earth-Water,Mhag,
Dec 26,11,18,Earth-Wind,Dhur,
Dec 27,11,19,Fire²,Chi,
Dec 28,11,20,Water²,Shid,
Dec 29,11,21,Fire²,"Dron, Yen Kong",
Dec 30,11,22,Fire-Water -> Water-Wind,Tsong,
Dec 31,11,23,Wind²,Bhu,
Jan 1,11,24,Earth-Wind,Dron,
Jan 2,11,25,Earth-Wind,Nyen,
Jan 3,11,26,Fire-Wind -> Earth-Fire,Shid,
Jan 4,11,27,Fire-Water,Mhag,
Jan 5,11,28,Earth-Fire,Dhur,
Jan 6,11,29,Earth-Water,Chi,Sojong
Jan 7,11,30,Water-Wind,Shid,New Moon
Jan 8,12,1,Earth-Water -> Water-Wind,Dron,
Jan 9,12,2,Earth-Water -> Earth²,Tsong,
Jan 10,12,3,Earth-Fire -> Fire²,Bhu,
Jan 11,12,4,Earth-Water -> Water²,Khar,
Jan 12,12,5,Fire-Water -> Earth-Fire,Nyen,
Jan 13,12,6,Earth-Water -> Fire-Water,Shid,
Jan 14,12,7,Fire-Wind -> Water-Wind,Mhag,
Jan 15,12,8,Earth-Water -> Water-Wind,Dhur,
Jan 16,12,9,Earth-Water -> Fire-Wind,Chi,Black-Day
Jan 17,12,10,Fire-Wind -> Fire²,Shid,Naga-Day
Jan 18,12,11,Earth-Wind,Dron,Earth-Spleen pulse predominates for 18 days
Jan 19,12,12,Fire² -> Earth-Fire,Tsong,
Jan 20,12,13,Earth-Water -> Water-Wind,"Bhu, Yen Kong",
Jan 21,12,14,Wind² -> Water-Wind,Khar,"Sojong, Black-Day"
Jan 22,12,15,Earth-Water -> Earth-Fire,Nyen,Full Moon
Jan 23,12,16,Earth-Fire,Shid,
Jan 24,12,17,Fire-Water,Mhag,
Jan 25,12,18,Fire-Water,Dhur,
Jan 26,12,19,Fire²,"Chi, Yen Kong",Republic Day of India
Jan 27,12,20,Water-Wind,Shid,
Jan 28,12,22,Wind²,Dron,
Jan 29,12,23,Earth-Wind,Tsong,
Jan 30,12,24,Earth-Wind,Bhu,
Jan 31,12,24,Fire²,Dron,
Feb 1,12,25,Earth-Water,Nyen,Bad-Day
Feb 2,12,26,Earth-Fire,Shid,
Feb 3,12,27,Earth-Water -> Water²,Mhag,
Feb 4,12,28,Water-Wind,Dhur,Wood-Liver pulse predominates for 72 days
Feb 5,12,29,Earth-Water -> Earth²,Chi,Sojong
Feb 6,12,30,Earth²,Shid,New Moon